symbol,company_name,cik,filer_name,match_method,first_period,last_period,quarters_present,quarters_expected,gaps,continuous,calls_split,calls_unsplit,calls_low_confidence
A,"Agilent Technologies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,71,2,2
AA,,,,,2012Q1,2016Q4,20,20,0,,38,2,0
AAL,,6201,American Airlines Group Inc.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,63,6,2
AAP,,,,,2015Q1,2023Q4,36,36,0,,36,0,0
AAPL,Apple Inc.,320193,Apple Inc.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,3,1
ABBV,AbbVie Inc.,1551152,AbbVie Inc.,edgar_ticker,2013Q1,2024Q4,48,48,0,,48,1,0
ABMD,,,,,2018Q1,2022Q4,20,20,0,,19,0,1
ABNB,"Airbnb, Inc.",,,,2020Q4,2024Q4,17,17,0,,18,0,0
ABT,Abbott Laboratories,1800,ABBOTT LABORATORIES,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,67,0,4
ACGL,Arch Capital Group Ltd.,,,,2012Q1,2024Q4,52,52,0,yes,61,1,0
ACN,Accenture plc,,,,2012Q1,2024Q4,52,52,0,yes,67,4,0
ADBE,Adobe Inc.,,,,2012Q1,2024Q4,52,52,0,yes,70,6,2
ADCT,,,,,,,0,52,52,,8,0,0
ADI,"Analog Devices, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,63,1,8
ADM,Archer-Daniels-Midland Company,7084,Archer-Daniels-Midland Co,edgar_ticker,2012Q2,2024Q4,51,51,0,,64,2,1
ADP,"Automatic Data Processing, Inc.",,,,2012Q1,2024Q4,51,52,1,,73,2,1
ADS,,,,,2013Q1,2020Q4,32,32,0,,31,0,1
ADSK,"Autodesk, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
ADT,,,,,2013Q2,2016Q1,12,12,0,,12,0,0
AEE,Ameren Corporation,,,,2012Q1,2024Q4,52,52,0,yes,66,0,1
AEP,"American Electric Power Company, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,55,14,5
AES,The AES Corporation,,,,2012Q1,2024Q4,50,52,2,,58,2,0
AFL,Aflac Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,65,2,0
AIG,"American International Group, Inc.",5272,"AMERICAN INTERNATIONAL GROUP, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,57,4,1
AIV,,,,,2012Q1,2020Q4,36,36,0,,51,1,0
AIZ,"Assurant, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,67,0,3
AJG,Arthur J. Gallagher & Co.,,,,2012Q1,2024Q4,52,52,0,yes,62,0,1
AKAM,"Akamai Technologies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,78,0,0
AKS,,,,,,,0,52,52,,11,2,1
ALB,Albemarle Corporation,,,,2012Q1,2024Q4,52,52,0,yes,62,0,1
ALGN,"Align Technology, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,62,0,2
ALK,,,,,2016Q1,2023Q4,32,32,0,,30,2,0
ALL,The Allstate Corporation,899051,ALLSTATE CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,0,1
ALLE,Allegion plc,,,,2014Q1,2024Q4,44,44,0,,45,0,0
ALTR,,,,,2012Q1,2015Q1,13,13,0,,30,7,0
ALXN,,,,,2012Q1,2020Q3,35,35,0,,33,2,0
AMAT,"Applied Materials, Inc.",6951,APPLIED MATERIALS INC /DE,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,1,0
AMBC,,,,,,,0,52,52,,5,0,0
AMCR,Amcor plc,,,,2012Q1,2024Q4,48,52,4,,64,0,2
AMD,"Advanced Micro Devices, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,72,0,1
AME,"AMETEK, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,63,0,0
AMG,,,,,2014Q1,2019Q4,24,24,0,,24,0,0
AMGN,Amgen Inc.,318154,AMGEN INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,74,3,0
AMP,"Ameriprise Financial, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,0,1
AMT,American Tower Corporation,,,,2012Q1,2024Q4,52,52,0,yes,67,1,4
AMTM,,,,,2024Q4,2024Q4,1,1,0,,1,0,0
AMZN,"Amazon.com, Inc.",1018724,AMAZON COM INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,74,4,0
AN,,350698,"AUTONATION, INC.",edgar_ticker,2012Q1,2017Q4,24,24,0,,40,2,0
ANET,Arista Networks Inc,,,,2014Q2,2024Q4,43,43,0,,41,1,2
ANF,,,,,2012Q1,2013Q4,8,8,0,,19,3,2
ANSS,"ANSYS, Inc.",,,,2012Q1,2023Q3,47,47,0,,55,0,0
AON,Aon plc,,,,2012Q1,2024Q4,52,52,0,yes,57,1,0
AOS,A. O. Smith Corporation,,,,2012Q1,2024Q4,52,52,0,yes,60,2,1
APA,APA Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,2,0
APD,"Air Products and Chemicals, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,63,7,1
APH,Amphenol Corporation,,,,2012Q1,2024Q4,52,52,0,yes,65,5,2
APO,"Apollo Global Management, Inc.",1858681,"Apollo Global Management, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,59,4,0
APTV,Aptiv PLC,,,,2017Q1,2024Q4,32,32,0,,29,0,4
ARE,"Alexandria Real Estate Equities, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,59,8,1
ASH,,,,,,,0,52,52,,5,0,0
AT,,,,,,,0,52,52,,6,2,0
ATGE,,,,,2012Q1,2012Q4,4,4,0,,13,0,0
ATI,,,,,2012Q1,2015Q4,16,16,0,,32,0,0
ATO,Atmos Energy Corporation,,,,2012Q1,2024Q4,52,52,0,yes,58,3,1
ATVI,,,,,2015Q1,2021Q3,27,27,0,,20,7,0
AVB,"AvalonBay Communities, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,61,4,2
AVGO,Broadcom Inc.,1730168,Broadcom Inc.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,77,1,0
AVY,Avery Dennison Corporation,,,,2012Q1,2024Q4,52,52,0,yes,66,1,1
AWK,"American Water Works Company, Inc.",,,,2012Q1,2024Q4,51,52,1,,57,0,1
AXON,"Axon Enterprise, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
