metric,class,taxonomy_element,in_evidence_store,window_coverage,ambiguous,note
revenue,FLOW,us-gaap:Revenues | us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,yes,full,no,"Filers split between the two names after ASC 606, and Revenues coverage has been declining since. Try both."
cost_of_revenue,FLOW,us-gaap:CostOfRevenue,yes,full,no,
gross_profit,FLOW,us-gaap:GrossProfit,yes,full,no,Derivable from Revenues minus CostOfRevenue through the calculation linkbase when not tagged directly.
operating_income,FLOW,us-gaap:OperatingIncomeLoss,yes,full,no,
net_income,FLOW,us-gaap:NetIncomeLoss,yes,full,no,
operating_expense,FLOW,us-gaap:OperatingExpenses,yes,full,no,
rd_expense,FLOW,us-gaap:ResearchAndDevelopmentExpense,yes,full,no,
sga_expense,FLOW,us-gaap:SellingGeneralAndAdministrativeExpense,yes,full,no,
income_tax_expense,FLOW,us-gaap:IncomeTaxExpenseBenefit,yes,full,no,
interest_expense,FLOW,us-gaap:InterestExpense,yes,full,no,
depreciation_amortisation,FLOW,us-gaap:DepreciationDepletionAndAmortization,yes,full,no,
eps_basic,FLOW,us-gaap:EarningsPerShareBasic,yes,full,no,
eps_diluted,FLOW,us-gaap:EarningsPerShareDiluted,yes,full,no,Guidance means diluted unless it says otherwise.
operating_cash_flow,FLOW,us-gaap:NetCashProvidedByUsedInOperatingActivities,yes,full,no,
capex,FLOW,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,yes,full,no,
share_repurchase,FLOW,us-gaap:PaymentsForRepurchaseOfCommonStock,yes,full,no,
dividends_paid,FLOW,us-gaap:PaymentsOfDividendsCommonStock,yes,full,no,
gross_margin,FLOW,GrossProfit / Revenues,yes,full,yes,"A ratio of two flows, so FLOW, compared year over year. Arguable: for a non-seasonal filer management often compares sequentially. Year over year is correct for seasonal filers and merely conservative for the rest, which is why it wins."
operating_margin,FLOW,OperatingIncomeLoss / Revenues,yes,full,yes,"A ratio of two flows, so FLOW, compared year over year. Arguable: for a non-seasonal filer management often compares sequentially. Year over year is correct for seasonal filers and merely conservative for the rest, which is why it wins."
net_margin,FLOW,NetIncomeLoss / Revenues,yes,full,yes,"A ratio of two flows, so FLOW, compared year over year. Arguable: for a non-seasonal filer management often compares sequentially. Year over year is correct for seasonal filers and merely conservative for the rest, which is why it wins."
free_cash_flow,FLOW,NetCashProvidedByUsedInOperatingActivities - PaymentsToAcquirePropertyPlantAndEquipment,yes,full,yes,"The class is unambiguous; the definition is not. Operating cash flow minus capex is the common form but filers vary, and some report it as non-GAAP. Record basis ADJUSTED_NON_GAAP when the speaker qualifies it."
inventory,LEVEL,us-gaap:InventoryNet,yes,full,no,
cash,LEVEL,us-gaap:CashAndCashEquivalentsAtCarryingValue,yes,full,no,
accounts_receivable,LEVEL,us-gaap:AccountsReceivableNetCurrent,yes,full,no,
